name,var_name,resp,freq,abs_freq,stop
com protectblackgunowners,NGRAM_OCCUR_L2_Ad Landing Page,-0.130406006,0.07253886,14,FALSE
5.76082E+14,NGRAM_OCCUR_L2_Ad Landing Page,-0.056098549,0.03626943,7,FALSE
hblackmattersus,NGRAM_OCCUR_L2_Ad Landing Page,-0.109160337,0.18134715,35,FALSE
http,NGRAM_OCCUR_L2_Ad Landing Page,-0.078275076,0.041450777,8,FALSE
comnvilliam,NGRAM_OCCUR_L2_Ad Landing Page,0.08496433,0.077720207,15,FALSE
com events,NGRAM_OCCUR_L2_Ad Landing Page,-0.201838378,0.502590674,97,FALSE
1.95796E+14,NGRAM_OCCUR_L2_Ad Landing Page,0.015359168,0.010362694,2,FALSE
sandkaivin,NGRAM_OCCUR_L2_Ad Landing Page,-0.045392914,0.150259067,29,FALSE
back,NGRAM_OCCUR_L2_Ad Landing Page,-0.040898091,0.020725389,4,TRUE
blm,NGRAM_OCCUR_L2_Ad Landing Page,0.007687895,0.010362694,2,FALSE
com muslimamerica,NGRAM_OCCUR_L2_Ad Landing Page,-0.137749429,0.129533679,25,FALSE
stoptherefugees,NGRAM_OCCUR_L2_Ad Landing Page,-0.091376454,0.03626943,7,FALSE
com defend,NGRAM_OCCUR_L2_Ad Landing Page,0.134896293,0.020725389,4,FALSE
iloveblackexcellence,NGRAM_OCCUR_L2_Ad Landing Page,-0.065452607,0.056994819,11,FALSE
muslimamerica,NGRAM_OCCUR_L2_Ad Landing Page,-0.137427191,0.129533679,25,FALSE
16591 awful,NGRAM_OCCUR_L2_Ad Landing Page,-0.006085592,0.010362694,2,FALSE
6.92069E+14,NGRAM_OCCUR_L2_Ad Landing Page,0.111990846,0.031088083,6,FALSE
2.94235E+14,NGRAM_OCCUR_L2_Ad Landing Page,0.134145912,0.18134715,35,FALSE
of jesus,NGRAM_OCCUR_L2_Ad Landing Page,0.10852838,0.020725389,4,TRUE
1.1958E+15,NGRAM_OCCUR_L2_Ad Landing Page,0.09315643,0.010362694,2,FALSE
patriotic,NGRAM_OCCUR_L2_Ad Landing Page,-0.054366377,0.07253886,14,FALSE
williamskalvin 788980617892144,NGRAM_OCCUR_L2_Ad Landing Page,-0.048987729,0.056994819,11,FALSE
2017,NGRAM_OCCUR_L2_Ad Landing Page,-0.045252973,0.03626943,7,FALSE
williamskalvin,NGRAM_OCCUR_L2_Ad Landing Page,-0.049250688,0.056994819,11,FALSE
